2015,01,49,
2015,02,102,
2015,03,306,
2015,04,248,
2015,05,232,
2015,06,325,
2015,07,468,
2015,08,349,
2015,09,566,
2015,10,416,
2015,11,406,
2015,12,488,
2015,13,372,
2015,14,413,
2015,15,246,
2015,16,172,
2015,17,126,
2015,18,71,
2015,19,58,
2015,20,33,
2015,21,21,
2015,22,29,
2015,23,13,
2015,24,10,
2015,25,6,
2015,26,4,
2015,27,7,
2015,28,6,
2015,29,7,
2015,30,4,
2015,31,4,
2015,32,6,
2015,33,4,
2015,34,6,
2015,35,5,
2015,36,2,
2015,37,2,
2015,38,5,
2015,39,7,
2015,40,4,
2015,41,8,
2015,42,4,
2015,43,9,
2015,44,8,
2015,45,4,
2015,46,4,
2015,47,15,
2015,48,10,
2015,49,10,
2015,50,18,
2015,51,19,
2015,52,32,
2016,01,54,
2016,02,124,
2016,03,176,
2016,04,343,
2016,05,476,
2016,06,692,
2016,07,765,
2016,08,858,
2016,09,744,
2016,10,552,
2016,11,487,
2016,12,434,
2016,13,489,
2016,14,470,
2016,15,422,
2016,16,304,
2016,17,218,
2016,18,140,
2016,19,92,
2016,20,63,
2016,21,36,
2016,22,22,
2016,23,24,
2016,24,15,
2016,25,17,
2016,26,9,
2016,27,10,
2016,28,7,
2016,29,4,
2016,30,6,
2016,31,4,
2016,32,2,
2016,33,6,
2016,34,9,
2016,35,5,
2016,36,4,
2016,37,6,
2016,38,4,
2016,39,11,
2016,40,12,
2016,41,10,
2016,42,11,
2016,43,14,
2016,44,11,
2016,45,14,
2016,46,20,
2016,47,26,
2016,48,36,
2016,49,101,
2016,50,267,
2016,51,566,
2016,52,671,
2016,53,599,
2017,01,695,
2017,02,384,
2017,03,279,
2017,04,166,
2017,05,160,
2017,06,135,
2017,07,114,
2017,08,94,
2017,09,89,
2017,10,69,
2017,11,95,
2017,12,97,
2017,13,131,
2017,14,163,
2017,15,127,
2017,16,148,
2017,17,121,
2017,18,102,
2017,19,85,
2017,20,50,
2017,21,44,
2017,22,24,
2017,23,31,
2017,24,20,
2017,25,23,
2017,26,10,
2017,27,8,
2017,28,16,
2017,29,11,
2017,30,13,
2017,31,23,
2017,32,15,
2017,33,18,
2017,34,13,
2017,35,17,
2017,36,18,
2017,37,15,
2017,38,28,
2017,39,16,
2017,40,8,
2017,41,11,
2017,42,30,
2017,43,27,
2017,44,33,
2017,45,47,
2017,46,45,
2017,47,93,
2017,48,181,
2017,49,336,
2017,50,572,
2017,51,1303,
2017,52,2370,
2018,01,3314,
2018,02,3108,
2018,03,2563,
2018,04,1431,
2018,05,1174,
2018,06,992,
2018,07,641,
2018,08,690,
2018,09,517,
2018,10,363,
2018,11,303,
2018,12,193,
2018,13,167,
2018,14,106,
2018,15,101,
2018,16,90,
2018,17,74,
2018,18,85,
2018,19,59,
2018,20,54,
2018,21,68,
2018,22,52,
2018,23,65,
2018,24,27,
2018,25,21,
2018,26,31,
2018,27,27,
2018,28,25,
2018,29,26,
2018,30,34,
2018,31,25,
2018,32,22,
2018,33,10,
2018,34,13,
2018,35,12,
2018,36,25,
2018,37,14,
2018,38,25,
2018,39,17,
2018,40,19,
2018,41,23,
2018,42,34,
2018,43,80,
2018,44,104,
2018,45,167,
2018,46,211,
2018,47,240,
2018,48,440,
2018,49,735,
2018,50,1218,
2018,51,1696,
2018,52,2052,
2019,01,1431,
2019,02,1021,
2019,03,638,
2019,04,385,
2019,05,270,
2019,06,213,
2019,07,148,
2019,08,150,
2019,09,165,
2019,10,192,
2019,11,264,
2019,12,354,
2019,13,495,
2019,14,601,
2019,15,798,
2019,16,810,
2019,17,648,
2019,18,330,
