label,week_avg_temp,week_avg_rain,week_avg_humidity
18년 21주,20.571,0.5,54.457
18년 22주,23.057,,51.243
18년 23주,21.8,1.2,64.943
18년 24주,22.643,22.75,63.329
18년 25주,24.3,36.25,63.7
18년 26주,24.514,31.767,83.057
18년 27주,23.929,8.5,69.5
18년 28주,27.871,0.5,70.286
18년 29주,30.543,,58.5
18년 30주,31.386,7.5,60.643
18년 31주,31.414,4.25,63.129
18년 32주,30.714,2.25,62.957
18년 33주,28.343,2.5,52.443
18년 34주,24.829,28.417,78.971
18년 35주,24.571,14.7,68.814
18년 36주,22.471,0.75,53.129
18년 37주,22.7,0.6,67.6
18년 38주,19.057,7.375,61.086
18년 39주,17.543,0.0,55.457
18년 40주,16.1,24.75,62.657
18년 41주,12.629,,56.871
18년 42주,13.043,5.0,58.329
18년 43주,9.1,3.3,60.043
18년 44주,11.243,2.0,62.114
18년 45주,10.086,16.25,65.557
18년 46주,6.9,0.6,52.5
18년 47주,4.286,10.9,53.671
18년 48주,5.443,4.833,54.529
18년 49주,-3.514,0.0,38.4
18년 50주,-0.114,0.633,54.586
18년 51주,2.157,,43.943
18년 52주,-7.186,,36.871
19년 1주,-2.9,,39.4
19년 2주,0.043,0.0,54.686
19년 3주,0.714,0.0,50.971
19년 4주,-0.129,0.0,39.486
19년 5주,1.129,5.433,51.7
19년 6주,-3.471,0.25,33.614
19년 7주,-0.257,1.75,56.514
19년 8주,5.314,,45.914
19년 9주,8.157,,46.171
19년 10주,6.343,0.0,43.329
19년 11주,6.929,6.667,59.743
19년 12주,6.9,2.5,54.886
19년 13주,6.857,0.9,44.829
19년 14주,10.057,5.95,45.729
19년 15주,12.014,1.7,40.1
19년 16주,16.386,1.12,64.229
19년 17주,13.0,5.4,59.143
19년 18주,16.971,0.0,35.857
19년 19주,19.329,0.0,43.186
19년 20주,20.343,10.233,55.729
19년 21주,21.486,7.1,50.171
19년 22주,21.057,0.0,51.9
19년 23주,20.729,13.7,65.043
19년 24주,21.971,4.025,62.729
19년 25주,24.329,0.1,53.543
19년 26주,24.229,0.725,67.971
19년 27주,26.029,4.25,49.0
19년 28주,24.343,3.52,72.457
19년 29주,27.129,1.68,72.571
19년 30주,26.757,22.843,84.457
19년 31주,28.771,11.625,71.557
19년 32주,29.543,17.325,69.214
19년 33주,26.4,4.4,68.1
19년 34주,25.771,20.0,64.786
19년 35주,23.5,14.95,69.371
19년 36주,24.557,16.057,80.014
19년 37주,22.843,1.433,60.529
19년 38주,19.714,0.4,57.114
19년 39주,22.743,23.1,64.629
19년 40주,17.814,10.2,67.143
19년 41주,16.086,,56.229
19년 42주,16.871,,60.4
19년 43주,13.229,0.6,58.829
19년 44주,13.6,,61.9
19년 45주,9.029,6.8,54.671
19년 46주,3.9,13.65,60.286
19년 47주,6.771,3.8,53.571
19년 48주,2.3,1.3,52.586
19년 49주,0.571,0.5,56.8
19년 50주,3.671,3.6,59.243
19년 51주,1.029,0.76,61.957
19년 52주,-0.314,0.44,54.071
20년 1주,2.171,19.9,66.457
20년 2주,-1.543,,55.957
20년 3주,0.457,0.6,45.357
20년 4주,5.129,0.05,53.657
20년 5주,0.414,0.567,50.957
20년 6주,1.357,1.34,48.643
20년 7주,2.0,5.467,66.329
20년 8주,5.414,5.975,60.629
20년 9주,4.929,0.92,62.786
20년 10주,6.1,11.8,47.914
20년 11주,5.643,0.5,48.743
20년 12주,10.886,0.0,41.3
20년 13주,10.929,1.9,38.171
20년 14주,9.243,,40.214
20년 15주,11.143,,49.371
20년 16주,11.1,4.225,61.457
20년 17주,12.129,,49.9
20년 18주,19.286,0.0,65.843
20년 19주,16.586,6.42,60.857
20년 20주,16.814,10.55,71.514
20년 21주,17.614,4.0,72.414
20년 22주,20.4,0.85,65.329
20년 23주,24.243,3.2,66.071
20년 24주,24.771,0.367,63.457
20년 25주,25.329,12.567,61.771
20년 26주,22.529,15.333,79.043
20년 27주,24.7,0.567,69.214
20년 28주,23.386,16.05,73.057
20년 29주,24.8,8.84,78.386
20년 30주,23.671,22.671,82.2
20년 31주,25.743,28.157,90.329
20년 32주,25.114,47.783,90.143
