feature,delta_mae_val_perm,delta_mae_val_mean,delta_mae_test_perm,delta_mae_test_mean
ili,12.143822890956226,9.179919639626766,7.505808915538287,7.225898691330956
week_cos,0.2028655529469532,0.11359058535792377,-0.02087810691376335,-0.1606762953911831
wx_week_avg_temp,0.1546181999496401,0.13010879808697862,0.0790109737089062,0.07430032799752873
respiratory_index,0.15209856265928678,-0.05792286069487096,0.10398883453469132,-0.11552476481105511
vaccine_rate,0.02939943032685166,0.021806899870537855,0.08030512270409496,0.03717514459559945
wx_week_avg_humidity,-0.10896435564499196,-0.3561212381323551,-0.3968367866809004,-0.5962726931446949
week_sin,-0.27893034870584277,-0.3915468740642183,-0.10510064823350662,-0.1559350709343672
wx_week_avg_rain,-0.419312698532448,-0.6446873251537446,-0.03286754370628708,-0.5562466458881397
