연도,주차,연령대,인플루엔자 검출률
2023,36,65세이상,3.3
2023,37,65세이상,3.7
2023,38,65세이상,3.1
2023,39,65세이상,10.7
2023,40,65세이상,0.0
2023,41,65세이상,3.8
2023,42,65세이상,11.1
2023,43,65세이상,21.1
2023,44,65세이상,17.4
2023,45,65세이상,12.5
2023,46,65세이상,22.5
2023,47,65세이상,18.2
2023,48,65세이상,22.2
2023,49,65세이상,35.9
2023,50,65세이상,39.5
2023,51,65세이상,33.3
2023,52,65세이상,33.3
2023,53,65세이상,33.3
2024,1,65세이상,24.3
2024,2,65세이상,16.7
2024,3,65세이상,14.3
2024,4,65세이상,12.1
2024,5,65세이상,8.2
2024,6,65세이상,9.1
2024,7,65세이상,5.7
2024,8,65세이상,3.1
2024,9,65세이상,1.9
2024,10,65세이상,1.6
2024,11,65세이상,0.0
2024,12,65세이상,2.0
2024,13,65세이상,0.0
2024,14,65세이상,4.0
2024,15,65세이상,2.1
2024,16,65세이상,0.0
2024,17,65세이상,0.0
2024,18,65세이상,2.6
2024,19,65세이상,0.0
2024,20,65세이상,2.1
2024,21,65세이상,3.8
2024,22,65세이상,0.0
2024,23,65세이상,2.4
2024,24,65세이상,0.0
2024,25,65세이상,2.7
2024,26,65세이상,2.2
2024,27,65세이상,0.0
2024,28,65세이상,0.0
2024,29,65세이상,0.0
2024,30,65세이상,1.9
2024,31,65세이상,0.0
2024,32,65세이상,2.9
2024,33,65세이상,1.2
2024,34,65세이상,0.0
2024,35,65세이상,0.0
2023,36,50-64세,6.7
2023,37,50-64세,0.0
2023,38,50-64세,15.4
2023,39,50-64세,21.1
2023,40,50-64세,30.0
2023,41,50-64세,18.8
2023,42,50-64세,14.8
2023,43,50-64세,19.2
2023,44,50-64세,21.4
2023,45,50-64세,24.1
2023,46,50-64세,24.5
2023,47,50-64세,25.6
2023,48,50-64세,40.5
2023,49,50-64세,44.4
2023,50,50-64세,48.9
2023,51,50-64세,50.0
2023,52,50-64세,26.5
2023,53,50-64세,26.5
2024,1,50-64세,40.5
2024,2,50-64세,28.6
2024,3,50-64세,23.9
2024,4,50-64세,22.5
2024,5,50-64세,9.8
2024,6,50-64세,15.6
2024,7,50-64세,11.1
2024,8,50-64세,2.1
2024,9,50-64세,0.0
2024,10,50-64세,2.0
2024,11,50-64세,2.2
2024,12,50-64세,4.2
2024,13,50-64세,2.0
2024,14,50-64세,2.5
2024,15,50-64세,0.0
2024,16,50-64세,3.7
2024,17,50-64세,3.6
2024,18,50-64세,10.8
2024,19,50-64세,7.5
2024,20,50-64세,0.0
2024,21,50-64세,3.1
2024,22,50-64세,3.2
2024,23,50-64세,0.0
2024,24,50-64세,0.0
2024,25,50-64세,0.0
2024,26,50-64세,0.0
2024,27,50-64세,0.0
2024,28,50-64세,0.0
2024,29,50-64세,3.7
2024,30,50-64세,5.0
2024,31,50-64세,1.8
2024,32,50-64세,0.0
2024,33,50-64세,1.8
2024,34,50-64세,1.6
2024,35,50-64세,2.4
2023,36,19-49세,5.4
2023,37,19-49세,5.6
2023,38,19-49세,10.5
2023,39,19-49세,18.8
2023,40,19-49세,11.8
2023,41,19-49세,28.0
2023,42,19-49세,8.9
2023,43,19-49세,22.0
2023,44,19-49세,21.3
2023,45,19-49세,23.7
2023,46,19-49세,25.0
2023,47,19-49세,25.6
2023,48,19-49세,46.8
2023,49,19-49세,54.3
2023,50,19-49세,59.2
2023,51,19-49세,42.6
2023,52,19-49세,48.5
2023,53,19-49세,48.5
2024,1,19-49세,40.8
2024,2,19-49세,42.9
2024,3,19-49세,33.3
2024,4,19-49세,30.9
2024,5,19-49세,30.6
2024,6,19-49세,17.0
2024,7,19-49세,28.6
2024,8,19-49세,16.2
2024,9,19-49세,13.0
2024,10,19-49세,8.7
2024,11,19-49세,7.4
2024,12,19-49세,10.5
2024,13,19-49세,5.4
2024,14,19-49세,2.2
2024,15,19-49세,7.1
2024,16,19-49세,9.3
