연도,주차,연령대,예방접종률
2024,38,7-13세,0.0
2024,39,7-13세,0.0
2024,40,7-13세,4.8
2024,41,7-13세,11.5
2024,42,7-13세,18.9
2024,43,7-13세,27.5
2024,44,7-13세,38.4
2024,45,7-13세,45.6
2024,46,7-13세,50.2
2024,47,7-13세,53.3
2024,48,7-13세,55.3
2024,49,7-13세,56.6
2024,50,7-13세,57.6
2024,51,7-13세,58.4
2024,52,7-13세,59.2
2024,53,7-13세,59.2
2025,1,7-13세,60.0
2025,2,7-13세,60.9
2025,3,7-13세,61.5
2025,4,7-13세,61.9
2025,5,7-13세,62.0
2025,6,7-13세,62.2
2025,7,7-13세,62.4
2025,8,7-13세,62.6
2025,9,7-13세,62.9
2025,10,7-13세,62.9
2025,11,7-13세,62.9
2025,12,7-13세,63.0
2025,13,7-13세,63.0
2025,14,7-13세,63.0
2025,15,7-13세,63.0
2025,16,7-13세,63.0
2025,17,7-13세,63.0
2025,18,7-13세,63.0
2024,38,6개월-13세,0.2
2024,39,6개월-13세,1.0
2024,40,6개월-13세,7.2
2024,41,6개월-13세,16.0
2024,42,6개월-13세,24.7
2024,43,6개월-13세,33.8
2024,44,6개월-13세,44.5
2024,45,6개월-13세,51.5
2024,46,6개월-13세,56.0
2024,47,6개월-13세,59.1
2024,48,6개월-13세,61.1
2024,49,6개월-13세,62.6
2024,50,6개월-13세,63.6
2024,51,6개월-13세,64.6
2024,52,6개월-13세,65.4
2024,53,6개월-13세,65.4
2025,1,6개월-13세,66.2
2025,2,6개월-13세,67.2
2025,3,6개월-13세,68.0
2025,4,6개월-13세,68.4
2025,5,6개월-13세,68.6
2025,6,6개월-13세,68.9
2025,7,6개월-13세,69.1
2025,8,6개월-13세,69.4
2025,9,6개월-13세,69.7
2025,10,6개월-13세,69.8
2025,11,6개월-13세,69.9
2025,12,6개월-13세,69.9
2025,13,6개월-13세,69.9
2025,14,6개월-13세,69.9
2025,15,6개월-13세,70.0
2025,16,6개월-13세,70.0
2025,17,6개월-13세,70.0
2025,18,6개월-13세,70.0
2024,38,6개월-6세,0.6
2024,39,6개월-6세,2.6
2024,40,6개월-6세,11.2
2024,41,6개월-6세,23.4
2024,42,6개월-6세,34.3
2024,43,6개월-6세,44.3
2024,44,6개월-6세,54.7
2024,45,6개월-6세,61.3
2024,46,6개월-6세,65.6
2024,47,6개월-6세,68.7
2024,48,6개월-6세,70.8
2024,49,6개월-6세,72.4
2024,50,6개월-6세,73.7
2024,51,6개월-6세,74.8
2024,52,6개월-6세,75.6
2024,53,6개월-6세,75.6
2025,1,6개월-6세,76.6
2025,2,6개월-6세,77.8
2025,3,6개월-6세,78.7
2025,4,6개월-6세,79.3
2025,5,6개월-6세,79.5
2025,6,6개월-6세,80.0
2025,7,6개월-6세,80.3
2025,8,6개월-6세,80.7
2025,9,6개월-6세,81.1
2025,10,6개월-6세,81.3
2025,11,6개월-6세,81.4
2025,12,6개월-6세,81.4
2025,13,6개월-6세,81.5
2025,14,6개월-6세,81.5
2025,15,6개월-6세,81.5
2025,16,6개월-6세,81.6
2025,17,6개월-6세,81.6
2025,18,6개월-6세,81.6
