연도,주차,연령대,인플루엔자 검출률
2023,22,13-18세,18.2
2023,23,13-18세,25.0
2023,24,13-18세,12.5
2023,25,13-18세,10.0
2023,26,13-18세,6.3
2023,27,13-18세,18.2
2023,28,13-18세,8.7
2023,29,13-18세,18.2
2023,30,13-18세,13.3
2023,31,13-18세,12.5
2023,32,13-18세,11.1
2023,33,13-18세,0.0
2023,34,13-18세,3.8
2023,35,13-18세,9.5
2022,36,7-12세,6.9
2022,37,7-12세,6.3
2022,38,7-12세,0.0
2022,39,7-12세,0.0
2022,40,7-12세,0.0
2022,41,7-12세,0.0
2022,42,7-12세,11.8
2022,43,7-12세,0.0
2022,44,7-12세,6.5
2022,45,7-12세,7.7
2022,46,7-12세,3.7
2022,47,7-12세,19.4
2022,48,7-12세,10.0
2022,49,7-12세,5.4
2022,50,7-12세,20.0
2022,51,7-12세,31.6
2022,52,7-12세,44.4
2022,53,7-12세,41.7
2023,1,7-12세,48.1
2023,2,7-12세,42.4
2023,3,7-12세,40.6
2023,4,7-12세,42.9
2023,5,7-12세,32.1
2023,6,7-12세,19.5
2023,7,7-12세,21.2
2023,8,7-12세,18.9
2023,9,7-12세,11.5
2023,10,7-12세,6.3
2023,11,7-12세,4.7
2023,12,7-12세,15.2
2023,13,7-12세,14.6
2023,14,7-12세,16.1
2023,15,7-12세,14.3
2023,16,7-12세,25.0
2023,17,7-12세,20.8
2023,18,7-12세,27.1
2023,19,7-12세,32.4
2023,20,7-12세,31.9
2023,21,7-12세,19.0
2023,22,7-12세,33.3
2023,23,7-12세,16.0
2023,24,7-12세,22.5
2023,25,7-12세,13.7
2023,26,7-12세,13.7
2023,27,7-12세,8.2
2023,28,7-12세,17.1
2023,29,7-12세,15.8
2023,30,7-12세,16.7
2023,31,7-12세,13.0
2023,32,7-12세,7.3
2023,33,7-12세,9.5
2023,34,7-12세,4.2
2023,35,7-12세,8.9
2022,36,0-6세,0.9
2022,37,0-6세,0.0
2022,38,0-6세,1.1
2022,39,0-6세,0.7
2022,40,0-6세,0.6
2022,41,0-6세,0.0
2022,42,0-6세,0.0
2022,43,0-6세,0.6
2022,44,0-6세,0.7
2022,45,0-6세,0.7
2022,46,0-6세,1.0
2022,47,0-6세,0.0
2022,48,0-6세,1.5
2022,49,0-6세,1.5
2022,50,0-6세,2.9
2022,51,0-6세,10.1
2022,52,0-6세,17.6
2022,53,0-6세,16.1
2023,1,0-6세,16.5
2023,2,0-6세,10.9
2023,3,0-6세,10.3
2023,4,0-6세,4.3
2023,5,0-6세,6.8
2023,6,0-6세,8.7
2023,7,0-6세,3.4
2023,8,0-6세,2.2
2023,9,0-6세,2.4
2023,10,0-6세,3.7
2023,11,0-6세,0.6
2023,12,0-6세,3.8
2023,13,0-6세,1.5
2023,14,0-6세,3.2
2023,15,0-6세,2.1
2023,16,0-6세,3.4
2023,17,0-6세,5.7
2023,18,0-6세,6.7
2023,19,0-6세,8.4
2023,20,0-6세,8.3
2023,21,0-6세,6.1
2023,22,0-6세,5.1
2023,23,0-6세,3.0
2023,24,0-6세,5.3
2023,25,0-6세,1.0
2023,26,0-6세,3.0
2023,27,0-6세,2.0
2023,28,0-6세,2.9
2023,29,0-6세,2.8
2023,30,0-6세,7.1
2023,31,0-6세,4.1
2023,32,0-6세,4.2
2023,33,0-6세,2.0
2023,34,0-6세,0.0
2023,35,0-6세,0.7
