연도,주차,연령대,예방접종률
2023,38,7-13세,0.0
2023,39,7-13세,0.0
2023,40,7-13세,5.1
2023,41,7-13세,14.9
2023,42,7-13세,25.6
2023,43,7-13세,35.3
2023,44,7-13세,46.0
2023,45,7-13세,51.9
2023,46,7-13세,55.9
2023,47,7-13세,58.1
2023,48,7-13세,59.3
2023,49,7-13세,60.2
2023,50,7-13세,60.7
2023,51,7-13세,61.1
2023,52,7-13세,61.5
2023,53,7-13세,61.5
2024,1,7-13세,61.7
2024,2,7-13세,61.8
2024,3,7-13세,62.0
2024,4,7-13세,62.1
2024,5,7-13세,62.2
2024,6,7-13세,62.2
2024,7,7-13세,62.3
2024,8,7-13세,62.4
2024,9,7-13세,62.6
2024,10,7-13세,62.6
2024,11,7-13세,62.6
2024,12,7-13세,62.6
2024,13,7-13세,62.6
2024,14,7-13세,62.6
2024,15,7-13세,62.6
2024,16,7-13세,62.7
2024,17,7-13세,62.7
2024,18,7-13세,62.7
2023,38,6개월-13세,0.6
2023,39,6개월-13세,1.0
2023,40,6개월-13세,7.9
2023,41,6개월-13세,19.8
2023,42,6개월-13세,31.5
2023,43,6개월-13세,41.3
2023,44,6개월-13세,51.7
2023,45,6개월-13세,57.5
2023,46,6개월-13세,61.5
2023,47,6개월-13세,63.7
2023,48,6개월-13세,65.0
2023,49,6개월-13세,65.9
2023,50,6개월-13세,66.6
2023,51,6개월-13세,67.0
2023,52,6개월-13세,67.5
2023,53,6개월-13세,67.5
2024,1,6개월-13세,67.8
2024,2,6개월-13세,68.0
2024,3,6개월-13세,68.3
2024,4,6개월-13세,68.4
2024,5,6개월-13세,68.6
2024,6,6개월-13세,68.7
2024,7,6개월-13세,68.9
2024,8,6개월-13세,69.1
2024,9,6개월-13세,69.2
2024,10,6개월-13세,69.3
2024,11,6개월-13세,69.3
2024,12,6개월-13세,69.4
2024,13,6개월-13세,69.4
2024,14,6개월-13세,69.4
2024,15,6개월-13세,69.4
2024,16,6개월-13세,69.4
2024,17,6개월-13세,69.5
2024,18,6개월-13세,69.5
2023,38,6개월-6세,1.5
2023,39,6개월-6세,2.6
2023,40,6개월-6세,12.3
2023,41,6개월-6세,27.6
2023,42,6개월-6세,41.1
2023,43,6개월-6세,51.1
2023,44,6개월-6세,60.9
2023,45,6개월-6세,66.6
2023,46,6개월-6세,70.4
2023,47,6개월-6세,72.6
2023,48,6개월-6세,74.1
2023,49,6개월-6세,75.1
2023,50,6개월-6세,75.9
2023,51,6개월-6세,76.5
2023,52,6개월-6세,77.1
2023,53,6개월-6세,77.1
2024,1,6개월-6세,77.6
2024,2,6개월-6세,78.0
2024,3,6개월-6세,78.4
2024,4,6개월-6세,78.7
2024,5,6개월-6세,79.0
2024,6,6개월-6세,79.2
2024,7,6개월-6세,79.4
2024,8,6개월-6세,79.7
2024,9,6개월-6세,79.9
2024,10,6개월-6세,80.1
2024,11,6개월-6세,80.2
2024,12,6개월-6세,80.2
2024,13,6개월-6세,80.2
2024,14,6개월-6세,80.3
2024,15,6개월-6세,80.3
2024,16,6개월-6세,80.3
2024,17,6개월-6세,80.3
2024,18,6개월-6세,80.3
