연도,주차,아형,인플루엔자 검출률
2018,17,검출률,4.2
2018,16,검출률,2.7
2018,15,검출률,2.7
2018,14,검출률,5.1
2018,13,검출률,7.5
2018,12,검출률,7.8
2018,11,검출률,11.6
2018,10,검출률,15.3
2018,9,검출률,26.7
2018,8,검출률,30.7
2018,7,검출률,43.3
2018,6,검출률,41.8
2018,5,검출률,49.5
2018,4,검출률,53.8
2018,3,검출률,64.2
2018,2,검출률,57.3
2018,1,검출률,67.7
2017,53,검출률,66.8
2017,52,검출률,66.8
2017,51,검출률,47.6
2017,50,검출률,35.1
2017,49,검출률,16.7
2017,48,검출률,10.8
2017,47,검출률,3.4
2017,46,검출률,1.2
2017,45,검출률,0.8
2017,44,검출률,1.3
2017,43,검출률,0.4
2017,42,검출률,0.9
2017,41,검출률,0.7
2017,40,검출률,0.0
2017,39,검출률,0.9
2017,38,검출률,1.4
2017,37,검출률,0.5
2017,36,검출률,0.9
