연도,주차,연령대,의사환자 분율
2023,36,65세이상,4.7
2023,37,65세이상,4.6
2023,38,65세이상,6.8
2023,39,65세이상,5.5
2023,40,65세이상,5.2
2023,41,65세이상,5.3
2023,42,65세이상,4.5
2023,43,65세이상,6.0
2023,44,65세이상,9.2
2023,45,65세이상,9.3
2023,46,65세이상,10.4
2023,47,65세이상,11.8
2023,48,65세이상,11.9
2023,49,65세이상,15.3
2023,50,65세이상,15.3
2023,51,65세이상,13.8
2023,52,65세이상,12.8
2023,53,65세이상,12.8
2024,1,65세이상,19.3
2024,2,65세이상,19.7
2024,3,65세이상,13.5
2024,4,65세이상,11.5
2024,5,65세이상,11.6
2024,6,65세이상,11.5
2024,7,65세이상,13.6
2024,8,65세이상,9.4
2024,9,65세이상,8.6
2024,10,65세이상,8.1
2024,11,65세이상,8.2
2024,12,65세이상,7.2
2024,13,65세이상,6.1
2024,14,65세이상,7.3
2024,15,65세이상,6.0
2024,16,65세이상,6.2
2024,17,65세이상,4.8
2024,18,65세이상,3.7
2024,19,65세이상,3.7
2024,20,65세이상,4.4
2024,21,65세이상,4.5
2024,22,65세이상,4.7
2024,23,65세이상,3.6
2024,24,65세이상,3.3
2024,25,65세이상,3.2
2024,26,65세이상,3.9
2024,27,65세이상,3.2
2024,28,65세이상,5.2
2024,29,65세이상,4.0
2024,30,65세이상,4.8
2024,31,65세이상,7.9
2024,32,65세이상,9.4
2024,33,65세이상,8.1
2024,34,65세이상,9.2
2024,35,65세이상,5.5
2023,36,50-64세,6.7
2023,37,50-64세,7.2
2023,38,50-64세,8.7
2023,39,50-64세,7.1
2023,40,50-64세,8.2
2023,41,50-64세,9.9
2023,42,50-64세,9.1
2023,43,50-64세,12.6
2023,44,50-64세,17.2
2023,45,50-64세,17.0
2023,46,50-64세,20.1
2023,47,50-64세,24.4
2023,48,50-64세,27.3
2023,49,50-64세,34.5
2023,50,50-64세,31.3
2023,51,50-64세,23.5
2023,52,50-64세,24.1
2023,53,50-64세,24.1
2024,1,50-64세,33.7
2024,2,50-64세,28.8
2024,3,50-64세,22.5
2024,4,50-64세,20.7
2024,5,50-64세,18.6
2024,6,50-64세,17.7
2024,7,50-64세,17.6
2024,8,50-64세,13.0
2024,9,50-64세,12.2
2024,10,50-64세,10.8
2024,11,50-64세,10.3
2024,12,50-64세,10.3
2024,13,50-64세,9.0
2024,14,50-64세,9.0
2024,15,50-64세,7.1
2024,16,50-64세,7.5
2024,17,50-64세,6.9
2024,18,50-64세,5.9
2024,19,50-64세,6.1
2024,20,50-64세,6.2
2024,21,50-64세,4.7
2024,22,50-64세,5.5
2024,23,50-64세,4.4
2024,24,50-64세,4.8
2024,25,50-64세,5.0
2024,26,50-64세,4.6
2024,27,50-64세,4.7
2024,28,50-64세,3.8
2024,29,50-64세,5.5
2024,30,50-64세,6.6
2024,31,50-64세,8.3
2024,32,50-64세,10.0
2024,33,50-64세,10.2
2024,34,50-64세,8.4
2024,35,50-64세,6.4
2023,36,19-49세,11.0
2023,37,19-49세,11.7
2023,38,19-49세,14.9
2023,39,19-49세,16.1
2023,40,19-49세,16.6
2023,41,19-49세,19.1
2023,42,19-49세,18.5
2023,43,19-49세,30.3
2023,44,19-49세,38.3
2023,45,19-49세,34.9
2023,46,19-49세,39.1
2023,47,19-49세,53.2
2023,48,19-49세,61.6
2023,49,19-49세,78.9
2023,50,19-49세,69.7
2023,51,19-49세,55.9
2023,52,19-49세,64.2
2023,53,19-49세,64.2
2024,1,19-49세,69.9
2024,2,19-49세,67.4
2024,3,19-49세,55.0
2024,4,19-49세,45.7
2024,5,19-49세,41.9
2024,6,19-49세,40.4
2024,7,19-49세,35.6
2024,8,19-49세,25.7
2024,9,19-49세,21.4
2024,10,19-49세,16.9
2024,11,19-49세,18.4
2024,12,19-49세,15.7
2024,13,19-49세,16.4
2024,14,19-49세,17.1
2024,15,19-49세,14.5
2024,16,19-49세,13.5
2024,17,19-49세,11.8
2024,18,19-49세,9.3
2024,19,19-49세,8.6
2024,20,19-49세,9.6
2024,21,19-49세,8.6
2024,22,19-49세,8.1
2024,23,19-49세,6.5
2024,24,19-49세,6.5
2024,25,19-49세,7.3
2024,26,19-49세,7.9
2024,27,19-49세,7.3
2024,28,19-49세,7.7
2024,29,19-49세,9.4
2024,30,19-49세,11.1
2024,31,19-49세,13.3
2024,32,19-49세,14.7
2024,33,19-49세,16.1
2024,34,19-49세,13.1
2024,35,19-49세,10.0
2023,36,13-18세,13.6
2023,37,13-18세,20.0
2023,38,13-18세,26.6
2023,39,13-18세,31.8
2023,40,13-18세,22.7
2023,41,13-18세,30.6
2023,42,13-18세,39.9
2023,43,13-18세,67.5
2023,44,13-18세,84.8
2023,45,13-18세,77.0
2023,46,13-18세,87.3
2023,47,13-18세,104.0
2023,48,13-18세,107.8
2023,49,13-18세,133.4
2023,50,13-18세,116.5
2023,51,13-18세,85.0
2023,52,13-18세,123.3
2023,53,13-18세,123.3
2024,1,13-18세,117.0
2024,2,13-18세,96.0
2024,3,13-18세,56.6
2024,4,13-18세,43.7
2024,5,13-18세,41.7
2024,6,13-18세,39.6
2024,7,13-18세,30.7
2024,8,13-18세,22.1
2024,9,13-18세,19.1
2024,10,13-18세,19.9
2024,11,13-18세,29.6
2024,12,13-18세,23.8
2024,13,13-18세,25.8
2024,14,13-18세,24.7
2024,15,13-18세,22.9
2024,16,13-18세,16.8
2024,17,13-18세,15.4
2024,18,13-18세,12.1
2024,19,13-18세,14.7
2024,20,13-18세,11.1
2024,21,13-18세,13.3
2024,22,13-18세,10.2
2024,23,13-18세,11.4
2024,24,13-18세,10.0
2024,25,13-18세,8.0
2024,26,13-18세,9.0
2024,27,13-18세,7.3
2024,28,13-18세,10.5
2024,29,13-18세,9.6
2024,30,13-18세,11.3
2024,31,13-18세,14.4
2024,32,13-18세,14.7
2024,33,13-18세,13.3
2024,34,13-18세,13.0
2024,35,13-18세,12.4
2023,36,7-12세,25.3
2023,37,7-12세,30.8
2023,38,7-12세,47.5
2023,39,7-12세,53.8
2023,40,7-12세,32.1
2023,41,7-12세,31.9
2023,42,7-12세,50.4
2023,43,7-12세,86.9
2023,44,7-12세,90.8
2023,45,7-12세,71.0
2023,46,7-12세,84.6
2023,47,7-12세,100.9
2023,48,7-12세,100.0
2023,49,7-12세,120.1
2023,50,7-12세,106.9
2023,51,7-12세,84.5
2023,52,7-12세,100.2
2023,53,7-12세,100.2
2024,1,7-12세,93.3
2024,2,7-12세,83.7
2024,3,7-12세,77.4
2024,4,7-12세,61.6
2024,5,7-12세,56.1
2024,6,7-12세,51.6
2024,7,7-12세,39.5
2024,8,7-12세,30.2
2024,9,7-12세,20.3
2024,10,7-12세,21.2
2024,11,7-12세,26.4
2024,12,7-12세,20.5
2024,13,7-12세,25.5
2024,14,7-12세,27.0
2024,15,7-12세,24.8
2024,16,7-12세,19.9
2024,17,7-12세,18.8
2024,18,7-12세,14.5
2024,19,7-12세,13.8
2024,20,7-12세,11.2
2024,21,7-12세,12.5
2024,22,7-12세,10.0
2024,23,7-12세,12.5
2024,24,7-12세,9.6
2024,25,7-12세,10.0
2024,26,7-12세,8.1
2024,27,7-12세,10.3
2024,28,7-12세,9.9
2024,29,7-12세,8.8
2024,30,7-12세,11.0
2024,31,7-12세,8.7
2024,32,7-12세,10.6
2024,33,7-12세,9.3
2024,34,7-12세,10.5
2024,35,7-12세,10.2
2023,36,1-6세,12.9
2023,37,1-6세,14.4
2023,38,1-6세,17.4
2023,39,1-6세,22.9
2023,40,1-6세,14.8
2023,41,1-6세,15.2
2023,42,1-6세,17.8
2023,43,1-6세,27.9
2023,44,1-6세,33.6
2023,45,1-6세,25.8
2023,46,1-6세,29.2
2023,47,1-6세,35.3
2023,48,1-6세,37.3
2023,49,1-6세,49.5
2023,50,1-6세,46.5
2023,51,1-6세,40.0
2023,52,1-6세,40.2
2023,53,1-6세,40.2
2024,1,1-6세,40.0
2024,2,1-6세,35.6
2024,3,1-6세,35.7
2024,4,1-6세,30.5
2024,5,1-6세,25.3
2024,6,1-6세,28.3
2024,7,1-6세,23.6
2024,8,1-6세,20.0
2024,9,1-6세,14.7
2024,10,1-6세,11.7
2024,11,1-6세,14.5
2024,12,1-6세,14.4
2024,13,1-6세,14.7
2024,14,1-6세,12.1
2024,15,1-6세,12.1
2024,16,1-6세,12.0
2024,17,1-6세,11.1
2024,18,1-6세,11.1
2024,19,1-6세,8.7
2024,20,1-6세,8.3
2024,21,1-6세,8.7
2024,22,1-6세,8.7
2024,23,1-6세,9.0
2024,24,1-6세,8.7
2024,25,1-6세,7.1
2024,26,1-6세,8.2
2024,27,1-6세,8.4
2024,28,1-6세,9.2
2024,29,1-6세,7.5
2024,30,1-6세,6.3
2024,31,1-6세,5.7
2024,32,1-6세,5.9
2024,33,1-6세,6.7
2024,34,1-6세,8.3
2024,35,1-6세,7.0
2023,36,0세,2.4
2023,37,0세,4.4
2023,38,0세,4.3
2023,39,0세,6.3
2023,40,0세,4.0
2023,41,0세,7.3
2023,42,0세,5.6
2023,43,0세,9.0
2023,44,0세,14.1
2023,45,0세,11.5
2023,46,0세,9.6
2023,47,0세,20.5
2023,48,0세,16.2
2023,49,0세,17.0
2023,50,0세,19.6
2023,51,0세,14.9
2023,52,0세,16.4
2023,53,0세,16.4
2024,1,0세,24.0
2024,2,0세,16.4
2024,3,0세,13.9
2024,4,0세,12.6
2024,5,0세,11.4
2024,6,0세,12.8
2024,7,0세,11.2
2024,8,0세,10.4
2024,9,0세,10.1
2024,10,0세,11.1
