연도,주차,연령대,의사환자 분율
2024,11,0세,9.5
2024,12,0세,10.5
2024,13,0세,8.2
2024,14,0세,7.2
2024,15,0세,6.5
2024,16,0세,3.1
2024,17,0세,4.0
2024,18,0세,6.9
2024,19,0세,5.6
2024,20,0세,3.9
2024,21,0세,6.9
2024,22,0세,10.6
2024,23,0세,5.4
2024,24,0세,5.8
2024,25,0세,5.6
2024,26,0세,4.0
2024,27,0세,5.9
2024,28,0세,3.8
2024,29,0세,1.9
2024,30,0세,2.8
2024,31,0세,1.8
2024,32,0세,1.5
2024,33,0세,2.9
2024,34,0세,5.7
2024,35,0세,3.6
