연도,주차,연령대,예방접종률
2017,38,75세 이상,0.0
2017,39,75세 이상,52.8
2017,40,75세 이상,55.2
2017,41,75세 이상,70.9
2017,42,75세 이상,79.9
2017,43,75세 이상,83.0
2017,44,75세 이상,84.4
2017,45,75세 이상,85.2
2017,46,75세 이상,85.7
2017,47,75세 이상,85.9
2017,48,75세 이상,86.0
2017,49,75세 이상,86.0
2017,50,75세 이상,86.1
2017,51,75세 이상,86.1
2017,52,75세 이상,86.1
2017,53,75세 이상,86.1
2018,1,75세 이상,86.1
2018,2,75세 이상,86.2
2018,3,75세 이상,86.2
2018,4,75세 이상,86.2
2018,5,75세 이상,86.2
2018,6,75세 이상,86.2
2018,7,75세 이상,86.2
2018,8,75세 이상,86.2
2018,9,75세 이상,86.2
2018,10,75세 이상,86.2
2018,11,75세 이상,86.2
2018,12,75세 이상,86.2
2018,13,75세 이상,86.2
2018,14,75세 이상,86.2
2018,15,75세 이상,86.2
2018,16,75세 이상,86.2
2018,17,75세 이상,86.3
2018,18,75세 이상,86.3
2017,38,70-74세,0.0
2017,39,70-74세,16.3
2017,40,70-74세,17.6
2017,41,70-74세,57.4
2017,42,70-74세,73.8
2017,43,70-74세,79.1
2017,44,70-74세,81.7
2017,45,70-74세,83.1
2017,46,70-74세,84.2
2017,47,70-74세,84.5
2017,48,70-74세,84.7
2017,49,70-74세,84.8
2017,50,70-74세,84.9
2017,51,70-74세,84.9
2017,52,70-74세,85.0
2017,53,70-74세,85.0
2018,1,70-74세,85.0
2018,2,70-74세,85.0
2018,3,70-74세,85.0
2018,4,70-74세,85.1
2018,5,70-74세,85.1
2018,6,70-74세,85.1
2018,7,70-74세,85.1
2018,8,70-74세,85.1
2018,9,70-74세,85.1
2018,10,70-74세,85.1
2018,11,70-74세,85.1
2018,12,70-74세,85.1
2018,13,70-74세,85.1
2018,14,70-74세,85.1
2018,15,70-74세,85.1
2018,16,70-74세,85.1
2018,17,70-74세,85.1
2018,18,70-74세,85.1
2017,38,65-69세,0.0
2017,39,65-69세,10.5
2017,40,65-69세,11.6
2017,41,65-69세,42.7
2017,42,65-69세,60.7
2017,43,65-69세,67.8
2017,44,65-69세,71.7
2017,45,65-69세,74.0
2017,46,65-69세,75.8
2017,47,65-69세,76.4
2017,48,65-69세,76.8
2017,49,65-69세,77.0
2017,50,65-69세,77.2
2017,51,65-69세,77.3
2017,52,65-69세,77.4
2017,53,65-69세,77.4
2018,1,65-69세,77.4
2018,2,65-69세,77.5
2018,3,65-69세,77.5
2018,4,65-69세,77.6
2018,5,65-69세,77.6
2018,6,65-69세,77.6
2018,7,65-69세,77.6
2018,8,65-69세,77.6
2018,9,65-69세,77.6
2018,10,65-69세,77.6
2018,11,65-69세,77.6
2018,12,65-69세,77.6
2018,13,65-69세,77.6
2018,14,65-69세,77.6
2018,15,65-69세,77.6
2018,16,65-69세,77.6
2018,17,65-69세,77.7
2018,18,65-69세,77.7
2017,38,65세 이상,0.0
2017,39,65세 이상,30.4
2017,40,65세 이상,32.1
2017,41,65세 이상,58.6
2017,42,65세 이상,72.3
2017,43,65세 이상,77.2
2017,44,65세 이상,79.7
2017,45,65세 이상,81.1
2017,46,65세 이상,82.2
2017,47,65세 이상,82.5
2017,48,65세 이상,82.7
2017,49,65세 이상,82.9
2017,50,65세 이상,83.0
2017,51,65세 이상,83.0
2017,52,65세 이상,83.1
2017,53,65세 이상,83.1
2018,1,65세 이상,83.1
2018,2,65세 이상,83.1
2018,3,65세 이상,83.2
2018,4,65세 이상,83.2
2018,5,65세 이상,83.2
2018,6,65세 이상,83.2
2018,7,65세 이상,83.2
2018,8,65세 이상,83.2
2018,9,65세 이상,83.2
2018,10,65세 이상,83.2
2018,11,65세 이상,83.2
2018,12,65세 이상,83.2
2018,13,65세 이상,83.2
2018,14,65세 이상,83.2
2018,15,65세 이상,83.2
2018,16,65세 이상,83.2
2018,17,65세 이상,83.2
2018,18,65세 이상,83.2
