연도,주차,연령대,예방접종률
2019,38,7-12세,0.2
2019,39,7-12세,0.6
2019,40,7-12세,1.5
2019,41,7-12세,2.9
2019,42,7-12세,18.9
2019,43,7-12세,36.0
2019,44,7-12세,49.1
2019,45,7-12세,57.1
2019,46,7-12세,62.2
2019,47,7-12세,65.3
2019,48,7-12세,67.4
2019,49,7-12세,68.5
2019,50,7-12세,69.3
2019,51,7-12세,69.8
2019,52,7-12세,70.0
2019,53,7-12세,70.0
2020,1,7-12세,70.3
2020,2,7-12세,70.4
2020,3,7-12세,70.5
2020,4,7-12세,70.6
2020,5,7-12세,70.7
2020,6,7-12세,70.7
2020,7,7-12세,70.8
2020,8,7-12세,70.8
2020,9,7-12세,70.8
2020,10,7-12세,70.8
2020,11,7-12세,70.8
2020,12,7-12세,70.9
2020,13,7-12세,70.9
2020,14,7-12세,70.9
2020,15,7-12세,70.9
2020,16,7-12세,70.9
2020,17,7-12세,70.9
2020,18,7-12세,70.9
2019,38,6개월-6세,2.2
2019,39,6개월-6세,4.4
2019,40,6개월-6세,6.5
2019,41,6개월-6세,9.2
2019,42,6개월-6세,30.1
2019,43,6개월-6세,49.6
2019,44,6개월-6세,63.1
2019,45,6개월-6세,70.5
2019,46,6개월-6세,75.0
2019,47,6개월-6세,77.8
2019,48,6개월-6세,79.6
2019,49,6개월-6세,80.7
2019,50,6개월-6세,81.5
2019,51,6개월-6세,82.2
2019,52,6개월-6세,82.6
2019,53,6개월-6세,82.6
2020,1,6개월-6세,83.0
2020,2,6개월-6세,83.4
2020,3,6개월-6세,83.8
2020,4,6개월-6세,84.0
2020,5,6개월-6세,84.3
2020,6,6개월-6세,84.5
2020,7,6개월-6세,84.7
2020,8,6개월-6세,84.9
2020,9,6개월-6세,85.1
2020,10,6개월-6세,85.2
2020,11,6개월-6세,85.2
2020,12,6개월-6세,85.3
2020,13,6개월-6세,85.3
2020,14,6개월-6세,85.3
2020,15,6개월-6세,85.3
2020,16,6개월-6세,85.3
2020,17,6개월-6세,85.3
2020,18,6개월-6세,85.3
2019,38,6개월-12세,1.2
2019,39,6개월-12세,2.5
2019,40,6개월-12세,4.1
2019,41,6개월-12세,6.2
2019,42,6개월-12세,24.8
2019,43,6개월-12세,43.5
2019,44,6개월-12세,57.2
2019,45,6개월-12세,65.2
2019,46,6개월-12세,70.2
2019,47,6개월-12세,73.3
2019,48,6개월-12세,75.3
2019,49,6개월-12세,76.4
2019,50,6개월-12세,77.3
2019,51,6개월-12세,77.8
2019,52,6개월-12세,77.8
2019,53,6개월-12세,77.8
2020,1,6개월-12세,77.8
2020,2,6개월-12세,77.8
2020,3,6개월-12세,77.8
2020,4,6개월-12세,77.8
2020,5,6개월-12세,77.8
2020,6,6개월-12세,77.8
2020,7,6개월-12세,77.8
2020,8,6개월-12세,77.8
2020,9,6개월-12세,77.8
2020,10,6개월-12세,77.8
2020,11,6개월-12세,77.8
2020,12,6개월-12세,77.8
2020,13,6개월-12세,77.8
2020,14,6개월-12세,77.8
2020,15,6개월-12세,77.8
2020,16,6개월-12세,77.8
2020,17,6개월-12세,77.8
2020,18,6개월-12세,77.8
