연도,주차,연령대,입원환자 수
2024,2,7-12세,11
2024,3,7-12세,8
2024,4,7-12세,5
2024,5,7-12세,6
2024,6,7-12세,9
2024,7,7-12세,3
2024,8,7-12세,1
2024,9,7-12세,1
2024,10,7-12세,0
2024,11,7-12세,0
2024,12,7-12세,1
2024,13,7-12세,2
2024,14,7-12세,1
2024,15,7-12세,2
2024,16,7-12세,1
2024,17,7-12세,0
2024,18,7-12세,0
2024,19,7-12세,0
2024,20,7-12세,0
2024,21,7-12세,0
2024,22,7-12세,0
2024,23,7-12세,0
2024,24,7-12세,1
2024,25,7-12세,0
2024,26,7-12세,1
2024,27,7-12세,0
2024,28,7-12세,0
2024,29,7-12세,1
2024,30,7-12세,0
2024,31,7-12세,0
2024,32,7-12세,0
2024,33,7-12세,1
2024,34,7-12세,0
2024,35,7-12세,0
2023,36,1-6세,4
2023,37,1-6세,4
2023,38,1-6세,6
2023,39,1-6세,6
2023,40,1-6세,5
2023,41,1-6세,7
2023,42,1-6세,9
2023,43,1-6세,14
2023,44,1-6세,14
2023,45,1-6세,2
2023,46,1-6세,9
2023,47,1-6세,15
2023,48,1-6세,18
2023,49,1-6세,19
2023,50,1-6세,20
2023,51,1-6세,17
2023,52,1-6세,17
2023,53,1-6세,17
2024,1,1-6세,10
2024,2,1-6세,12
2024,3,1-6세,10
2024,4,1-6세,10
2024,5,1-6세,10
2024,6,1-6세,11
2024,7,1-6세,6
2024,8,1-6세,2
2024,9,1-6세,1
2024,10,1-6세,0
2024,11,1-6세,2
2024,12,1-6세,0
2024,13,1-6세,3
2024,14,1-6세,1
2024,15,1-6세,2
2024,16,1-6세,1
2024,17,1-6세,2
2024,18,1-6세,1
2024,19,1-6세,0
2024,20,1-6세,0
2024,21,1-6세,0
2024,22,1-6세,1
2024,23,1-6세,0
2024,24,1-6세,0
2024,25,1-6세,2
2024,26,1-6세,1
2024,27,1-6세,0
2024,28,1-6세,3
2024,29,1-6세,5
2024,30,1-6세,0
2024,31,1-6세,0
2024,32,1-6세,2
2024,33,1-6세,0
2024,34,1-6세,0
2024,35,1-6세,0
2023,36,0세,0
2023,37,0세,0
2023,38,0세,0
2023,39,0세,1
2023,40,0세,0
2023,41,0세,1
2023,42,0세,2
2023,43,0세,2
2023,44,0세,1
2023,45,0세,1
2023,46,0세,4
2023,47,0세,4
2023,48,0세,10
2023,49,0세,5
2023,50,0세,8
2023,51,0세,5
2023,52,0세,4
2023,53,0세,4
2024,1,0세,4
2024,2,0세,5
2024,3,0세,3
2024,4,0세,3
2024,5,0세,4
2024,6,0세,0
2024,7,0세,2
2024,8,0세,2
2024,9,0세,0
2024,10,0세,0
2024,11,0세,1
2024,12,0세,0
2024,13,0세,0
2024,14,0세,1
2024,15,0세,0
2024,16,0세,0
2024,17,0세,0
2024,18,0세,1
2024,19,0세,1
2024,20,0세,0
2024,21,0세,0
2024,22,0세,1
2024,23,0세,0
2024,24,0세,0
2024,25,0세,0
2024,26,0세,1
2024,27,0세,1
2024,28,0세,0
2024,29,0세,0
2024,30,0세,0
2024,31,0세,0
2024,32,0세,0
2024,33,0세,0
2024,34,0세,0
2024,35,0세,0
