연도,주차,연령대,인플루엔자 검출률
2024,36,65세이상,0.0
2024,37,65세이상,0.0
2024,38,65세이상,0.0
2024,39,65세이상,0.0
2024,40,65세이상,4.2
2024,41,65세이상,0.0
2024,42,65세이상,0.0
2024,43,65세이상,3.3
2024,44,65세이상,0.0
2024,45,65세이상,0.0
2024,46,65세이상,0.0
2024,47,65세이상,0.0
2024,48,65세이상,0.0
2024,49,65세이상,0.0
2024,50,65세이상,11.3
2024,51,65세이상,20.0
2024,52,65세이상,43.6
2024,53,65세이상,43.6
2025,1,65세이상,58.9
2025,2,65세이상,62.8
2025,3,65세이상,51.4
2025,4,65세이상,39.3
2025,5,65세이상,18.8
2025,6,65세이상,4.8
2025,7,65세이상,6.4
2025,8,65세이상,6.3
2025,9,65세이상,7.1
2025,10,65세이상,6.1
2025,11,65세이상,6.1
2025,12,65세이상,4.0
2025,13,65세이상,1.9
2025,14,65세이상,0.0
2025,15,65세이상,1.9
2025,16,65세이상,4.7
2025,17,65세이상,0.0
2025,18,65세이상,0.0
2025,19,65세이상,0.0
2025,20,65세이상,2.2
2025,21,65세이상,0.0
2025,22,65세이상,0.0
2025,23,65세이상,3.0
2025,24,65세이상,0.0
2025,25,65세이상,0.0
2025,26,65세이상,0.0
2025,27,65세이상,0.0
2025,28,65세이상,2.8
2025,29,65세이상,0.0
2025,30,65세이상,0.0
2025,31,65세이상,2.3
2025,32,65세이상,0.0
2025,33,65세이상,0.0
2025,34,65세이상,2.1
2025,35,65세이상,0.0
2024,36,50-64세,0.0
2024,37,50-64세,0.0
2024,38,50-64세,0.0
2024,39,50-64세,0.0
2024,40,50-64세,0.0
2024,41,50-64세,5.9
2024,42,50-64세,2.9
2024,43,50-64세,0.0
2024,44,50-64세,0.0
2024,45,50-64세,5.6
2024,46,50-64세,2.6
2024,47,50-64세,2.6
2024,48,50-64세,5.1
2024,49,50-64세,6.7
2024,50,50-64세,16.7
2024,51,50-64세,34.8
2024,52,50-64세,75.4
2024,53,50-64세,75.4
2025,1,50-64세,81.7
2025,2,50-64세,70.4
2025,3,50-64세,60.0
2025,4,50-64세,45.3
2025,5,50-64세,33.3
2025,6,50-64세,14.3
2025,7,50-64세,13.0
2025,8,50-64세,5.1
2025,9,50-64세,9.3
2025,10,50-64세,15.4
2025,11,50-64세,8.6
2025,12,50-64세,5.1
2025,13,50-64세,10.2
2025,14,50-64세,0.0
2025,15,50-64세,6.3
2025,16,50-64세,6.5
2025,17,50-64세,3.0
2025,18,50-64세,7.5
2025,19,50-64세,4.8
2025,20,50-64세,5.1
2025,21,50-64세,2.6
2025,22,50-64세,2.5
2025,23,50-64세,0.0
2025,24,50-64세,0.0
2025,25,50-64세,0.0
2025,26,50-64세,3.3
2025,27,50-64세,0.0
2025,28,50-64세,3.2
2025,29,50-64세,0.0
2025,30,50-64세,2.8
2025,31,50-64세,0.0
2025,32,50-64세,0.0
2025,33,50-64세,2.5
2025,34,50-64세,0.0
2025,35,50-64세,2.2
2024,36,19-49세,1.6
2024,37,19-49세,0.0
2024,38,19-49세,7.1
2024,39,19-49세,0.0
2024,40,19-49세,0.0
2024,41,19-49세,4.2
2024,42,19-49세,0.0
2024,43,19-49세,3.3
2024,44,19-49세,0.0
2024,45,19-49세,1.3
2024,46,19-49세,4.6
2024,47,19-49세,2.4
2024,48,19-49세,4.7
2024,49,19-49세,13.4
2024,50,19-49세,21.3
2024,51,19-49세,44.0
2024,52,19-49세,63.0
2024,53,19-49세,63.0
2025,1,19-49세,69.1
2025,2,19-49세,62.5
2025,3,19-49세,46.5
2025,4,19-49세,43.2
2025,5,19-49세,37.1
2025,6,19-49세,23.9
2025,7,19-49세,21.2
2025,8,19-49세,19.0
2025,9,19-49세,12.2
2025,10,19-49세,11.1
2025,11,19-49세,27.4
2025,12,19-49세,11.9
2025,13,19-49세,20.0
2025,14,19-49세,25.3
2025,15,19-49세,20.2
2025,16,19-49세,18.3
2025,17,19-49세,18.8
2025,18,19-49세,14.7
2025,19,19-49세,10.5
2025,20,19-49세,17.1
2025,21,19-49세,5.5
2025,22,19-49세,2.8
2025,23,19-49세,5.2
2025,24,19-49세,2.9
2025,25,19-49세,2.6
2025,26,19-49세,0.0
2025,27,19-49세,3.6
2025,28,19-49세,0.0
2025,29,19-49세,0.0
2025,30,19-49세,0.0
2025,31,19-49세,2.4
2025,32,19-49세,0.0
2025,33,19-49세,0.0
2025,34,19-49세,2.6
2025,35,19-49세,1.1
2024,36,13-18세,0.0
2024,37,13-18세,0.0
2024,38,13-18세,0.0
2024,39,13-18세,0.0
2024,40,13-18세,0.0
2024,41,13-18세,0.0
2024,42,13-18세,3.0
2024,43,13-18세,2.9
2024,44,13-18세,0.0
2024,45,13-18세,0.0
2024,46,13-18세,8.6
2024,47,13-18세,0.0
2024,48,13-18세,14.9
2024,49,13-18세,16.7
2024,50,13-18세,27.9
2024,51,13-18세,46.8
2024,52,13-18세,77.2
2024,53,13-18세,77.2
2025,1,13-18세,68.0
2025,2,13-18세,50.0
2025,3,13-18세,44.4
2025,4,13-18세,38.5
2025,5,13-18세,30.0
2025,6,13-18세,30.8
2025,7,13-18세,27.3
2025,8,13-18세,23.1
2025,9,13-18세,43.8
2025,10,13-18세,16.7
2025,11,13-18세,34.4
2025,12,13-18세,41.4
2025,13,13-18세,50.7
2025,14,13-18세,44.7
2025,15,13-18세,63.8
2025,16,13-18세,50.0
2025,17,13-18세,61.5
2025,18,13-18세,46.9
2025,19,13-18세,36.0
2025,20,13-18세,25.0
2025,21,13-18세,2.9
2025,22,13-18세,2.3
2025,23,13-18세,12.0
2025,24,13-18세,3.0
2025,25,13-18세,0.0
2025,26,13-18세,0.0
2025,27,13-18세,0.0
2025,28,13-18세,0.0
2025,29,13-18세,5.0
2025,30,13-18세,5.0
2025,31,13-18세,7.7
2025,32,13-18세,0.0
2025,33,13-18세,0.0
2025,34,13-18세,0.0
2025,35,13-18세,0.0
2024,36,7-12세,0.0
2024,37,7-12세,1.8
2024,38,7-12세,0.0
2024,39,7-12세,2.3
2024,40,7-12세,0.0
2024,41,7-12세,2.1
2024,42,7-12세,4.6
2024,43,7-12세,0.0
2024,44,7-12세,3.1
2024,45,7-12세,7.9
2024,46,7-12세,1.9
2024,47,7-12세,1.6
2024,48,7-12세,5.1
2024,49,7-12세,15.3
2024,50,7-12세,19.7
2024,51,7-12세,16.4
2024,52,7-12세,47.7
2024,53,7-12세,47.7
2025,1,7-12세,60.0
2025,2,7-12세,53.3
2025,3,7-12세,59.4
2025,4,7-12세,39.3
2025,5,7-12세,18.8
2025,6,7-12세,10.5
2025,7,7-12세,16.7
2025,8,7-12세,23.9
2025,9,7-12세,28.6
2025,10,7-12세,27.8
2025,11,7-12세,30.9
2025,12,7-12세,32.9
2025,13,7-12세,33.8
2025,14,7-12세,45.2
2025,15,7-12세,50.6
2025,16,7-12세,60.8
2025,17,7-12세,57.1
2025,18,7-12세,43.8
2025,19,7-12세,23.5
2025,20,7-12세,19.0
2025,21,7-12세,9.1
2025,22,7-12세,17.1
2025,23,7-12세,12.1
2025,24,7-12세,9.1
2025,25,7-12세,6.7
2025,26,7-12세,4.4
2025,27,7-12세,12.5
2025,28,7-12세,8.8
2025,29,7-12세,0.0
2025,30,7-12세,2.6
2025,31,7-12세,0.0
2025,32,7-12세,2.6
2025,33,7-12세,0.0
2025,34,7-12세,0.0
2025,35,7-12세,0.0
2024,36,0-6세,0.0
2024,37,0-6세,0.0
2024,38,0-6세,0.0
2024,39,0-6세,0.0
2024,40,0-6세,0.0
2024,41,0-6세,1.2
2024,42,0-6세,0.0
2024,43,0-6세,0.0
2024,44,0-6세,0.0
2024,45,0-6세,1.2
2024,46,0-6세,3.8
2024,47,0-6세,1.1
2024,48,0-6세,1.3
2024,49,0-6세,4.5
2024,50,0-6세,3.1
2024,51,0-6세,14.0
2024,52,0-6세,16.0
2024,53,0-6세,16.0
2025,1,0-6세,36.6
2025,2,0-6세,31.8
2025,3,0-6세,25.0
2025,4,0-6세,20.2
2025,5,0-6세,10.0
2025,6,0-6세,6.1
2025,7,0-6세,12.0
2025,8,0-6세,5.7
2025,9,0-6세,7.1
2025,10,0-6세,8.0
2025,11,0-6세,2.2
2025,12,0-6세,4.2
2025,13,0-6세,5.3
2025,14,0-6세,5.7
2025,15,0-6세,5.4
2025,16,0-6세,7.4
2025,17,0-6세,8.8
2025,18,0-6세,3.8
2025,19,0-6세,5.4
2025,20,0-6세,0.0
2025,21,0-6세,1.0
2025,22,0-6세,1.0
2025,23,0-6세,3.1
2025,24,0-6세,0.0
2025,25,0-6세,1.2
2025,26,0-6세,0.0
2025,27,0-6세,0.0
2025,28,0-6세,0.0
2025,29,0-6세,0.0
2025,30,0-6세,1.1
2025,31,0-6세,1.3
2025,32,0-6세,0.0
2025,33,0-6세,0.0
2025,34,0-6세,1.3
2025,35,0-6세,1.8
