연도,주차,연령대,입원환자 수
2022,13,7-12세,0
2022,14,7-12세,1
2022,15,7-12세,0
2022,16,7-12세,0
2022,17,7-12세,0
2022,18,7-12세,0
2022,19,7-12세,0
2022,20,7-12세,0
2022,21,7-12세,0
2022,22,7-12세,0
2022,23,7-12세,0
2022,24,7-12세,0
2022,25,7-12세,0
2022,26,7-12세,0
2022,27,7-12세,0
2022,28,7-12세,0
2022,29,7-12세,0
2022,30,7-12세,6
2022,31,7-12세,6
2022,32,7-12세,5
2022,33,7-12세,8
2022,34,7-12세,3
2022,35,7-12세,3
2021,36,1-6세,0
2021,37,1-6세,0
2021,38,1-6세,0
2021,39,1-6세,0
2021,40,1-6세,0
2021,41,1-6세,0
2021,42,1-6세,0
2021,43,1-6세,0
2021,44,1-6세,1
2021,45,1-6세,0
2021,46,1-6세,0
2021,47,1-6세,0
2021,48,1-6세,0
2021,49,1-6세,0
2021,50,1-6세,0
2021,51,1-6세,0
2021,52,1-6세,0
2021,53,1-6세,0
2022,1,1-6세,0
2022,2,1-6세,0
2022,3,1-6세,0
2022,4,1-6세,0
2022,5,1-6세,0
2022,6,1-6세,0
2022,7,1-6세,0
2022,8,1-6세,0
2022,9,1-6세,0
2022,10,1-6세,0
2022,11,1-6세,0
2022,12,1-6세,0
2022,13,1-6세,0
2022,14,1-6세,0
2022,15,1-6세,0
2022,16,1-6세,0
2022,17,1-6세,0
2022,18,1-6세,0
2022,19,1-6세,0
2022,20,1-6세,0
2022,21,1-6세,0
2022,22,1-6세,0
2022,23,1-6세,0
2022,24,1-6세,0
2022,25,1-6세,0
2022,26,1-6세,0
2022,27,1-6세,0
2022,28,1-6세,0
2022,29,1-6세,0
2022,30,1-6세,2
2022,31,1-6세,4
2022,32,1-6세,1
2022,33,1-6세,2
2022,34,1-6세,3
2022,35,1-6세,1
2021,36,0세,0
2021,37,0세,0
2021,38,0세,0
2021,39,0세,0
2021,40,0세,1
2021,41,0세,2
2021,42,0세,0
2021,43,0세,0
2021,44,0세,0
2021,45,0세,0
2021,46,0세,0
2021,47,0세,0
2021,48,0세,0
2021,49,0세,0
2021,50,0세,0
2021,51,0세,0
2021,52,0세,0
2021,53,0세,0
2022,1,0세,0
2022,2,0세,0
2022,3,0세,0
2022,4,0세,0
2022,5,0세,0
2022,6,0세,0
2022,7,0세,0
2022,8,0세,0
2022,9,0세,0
2022,10,0세,0
2022,11,0세,0
2022,12,0세,0
2022,13,0세,0
2022,14,0세,0
2022,15,0세,0
2022,16,0세,0
2022,17,0세,0
2022,18,0세,0
2022,19,0세,0
2022,20,0세,0
2022,21,0세,0
2022,22,0세,0
2022,23,0세,0
2022,24,0세,0
2022,25,0세,0
2022,26,0세,0
2022,27,0세,0
2022,28,0세,0
2022,29,0세,0
2022,30,0세,0
2022,31,0세,0
2022,32,0세,0
2022,33,0세,0
2022,34,0세,0
2022,35,0세,0
