연도,주차,연령대,예방접종률
2021,38,75세 이상,0.0
2021,39,75세 이상,0.0
2021,40,75세 이상,0.0
2021,41,75세 이상,0.0
2021,42,75세 이상,45.9
2021,43,75세 이상,65.6
2021,44,75세 이상,74.6
2021,45,75세 이상,78.5
2021,46,75세 이상,80.4
2021,47,75세 이상,81.8
2021,48,75세 이상,82.5
2021,49,75세 이상,82.9
2021,50,75세 이상,83.2
2021,51,75세 이상,83.4
2021,52,75세 이상,83.6
2021,53,75세 이상,83.6
2022,1,75세 이상,83.6
2022,2,75세 이상,83.7
2022,3,75세 이상,83.7
2022,4,75세 이상,83.7
2022,5,75세 이상,83.7
2022,6,75세 이상,83.7
2022,7,75세 이상,83.7
2022,8,75세 이상,83.7
2022,9,75세 이상,83.7
2022,10,75세 이상,83.7
2022,11,75세 이상,83.7
2022,12,75세 이상,83.7
2022,13,75세 이상,83.7
2022,14,75세 이상,83.7
2022,15,75세 이상,83.7
2022,16,75세 이상,83.7
2022,17,75세 이상,83.7
2022,18,75세 이상,83.7
2021,38,70-74세,0.0
2021,39,70-74세,0.0
2021,40,70-74세,0.0
2021,41,70-74세,0.0
2021,42,70-74세,8.7
2021,43,70-74세,56.1
2021,44,70-74세,68.9
2021,45,70-74세,74.7
2021,46,70-74세,77.9
2021,47,70-74세,80.1
2021,48,70-74세,81.4
2021,49,70-74세,82.2
2021,50,70-74세,82.8
2021,51,70-74세,83.1
2021,52,70-74세,83.3
2021,53,70-74세,83.3
2022,1,70-74세,83.4
2022,2,70-74세,83.5
2022,3,70-74세,83.5
2022,4,70-74세,83.6
2022,5,70-74세,83.6
2022,6,70-74세,83.6
2022,7,70-74세,83.7
2022,8,70-74세,83.7
2022,9,70-74세,83.7
2022,10,70-74세,83.7
2022,11,70-74세,83.7
2022,12,70-74세,83.7
2022,13,70-74세,83.7
2022,14,70-74세,83.7
2022,15,70-74세,83.7
2022,16,70-74세,83.7
2022,17,70-74세,83.7
2022,18,70-74세,83.7
2021,38,65-69세,0.0
2021,39,65-69세,0.0
2021,40,65-69세,0.0
2021,41,65-69세,0.0
2021,42,65-69세,5.3
2021,43,65-69세,32.7
2021,44,65-69세,50.9
2021,45,65-69세,59.3
2021,46,65-69세,64.2
2021,47,65-69세,67.9
2021,48,65-69세,70.1
2021,49,65-69세,71.5
2021,50,65-69세,72.5
2021,51,65-69세,73.0
2021,52,65-69세,73.3
2021,53,65-69세,73.3
2022,1,65-69세,73.5
2022,2,65-69세,73.7
2022,3,65-69세,73.8
2022,4,65-69세,73.9
2022,5,65-69세,73.9
2022,6,65-69세,73.9
2022,7,65-69세,74.0
2022,8,65-69세,74.0
2022,9,65-69세,74.1
2022,10,65-69세,74.1
2022,11,65-69세,74.1
2022,12,65-69세,74.1
2022,13,65-69세,74.1
2022,14,65-69세,74.1
2022,15,65-69세,74.1
2022,16,65-69세,74.1
2022,17,65-69세,74.2
2022,18,65-69세,74.2
2021,38,65세 이상,0.0
2021,39,65세 이상,0.0
2021,40,65세 이상,0.0
2021,41,65세 이상,0.0
2021,42,65세 이상,23.3
2021,43,65세 이상,52.1
2021,44,65세 이상,65.2
2021,45,65세 이상,71.1
2021,46,65세 이상,74.3
2021,47,65세 이상,76.7
2021,48,65세 이상,78.0
2021,49,65세 이상,78.9
2021,50,65세 이상,79.4
2021,51,65세 이상,79.8
2021,52,65세 이상,80.0
2021,53,65세 이상,80.0
2022,1,65세 이상,80.1
2022,2,65세 이상,80.2
2022,3,65세 이상,80.3
2022,4,65세 이상,80.4
2022,5,65세 이상,80.4
2022,6,65세 이상,80.4
2022,7,65세 이상,80.4
2022,8,65세 이상,80.4
2022,9,65세 이상,80.5
2022,10,65세 이상,80.5
2022,11,65세 이상,80.5
2022,12,65세 이상,80.5
2022,13,65세 이상,80.5
2022,14,65세 이상,80.5
2022,15,65세 이상,80.5
2022,16,65세 이상,80.5
2022,17,65세 이상,80.5
2022,18,65세 이상,80.5
