연도,주차,연령대,예방접종률
2020,38,7-13세,0.3
2020,39,7-13세,9.3
2020,40,7-13세,22.3
2020,41,7-13세,40.2
2020,42,7-13세,62.1
2020,43,7-13세,66.7
2020,44,7-13세,68.7
2020,45,7-13세,70.5
2020,46,7-13세,71.6
2020,47,7-13세,72.4
2020,48,7-13세,73.6
2020,49,7-13세,74.4
2020,50,7-13세,74.9
2020,51,7-13세,75.5
2020,52,7-13세,76.0
2020,53,7-13세,76.0
2021,1,7-13세,76.4
2021,2,7-13세,76.4
2021,3,7-13세,76.4
2021,4,7-13세,76.4
2021,5,7-13세,76.4
2021,6,7-13세,76.4
2021,7,7-13세,76.4
2021,8,7-13세,76.4
2021,9,7-13세,76.4
2021,10,7-13세,76.4
2021,11,7-13세,76.4
2021,12,7-13세,76.4
2021,13,7-13세,76.4
2021,14,7-13세,76.4
2021,15,7-13세,76.4
2021,16,7-13세,76.4
2021,17,7-13세,76.4
2021,18,7-13세,76.4
2020,38,6개월-13세,2.2
2020,39,6개월-13세,13.1
2020,40,6개월-13세,27.7
2020,41,6개월-13세,46.3
2020,42,6개월-13세,64.1
2020,43,6개월-13세,68.3
2020,44,6개월-13세,70.3
2020,45,6개월-13세,72.1
2020,46,6개월-13세,73.4
2020,47,6개월-13세,74.2
2020,48,6개월-13세,75.3
2020,49,6개월-13세,76.4
2020,50,6개월-13세,77.0
2020,51,6개월-13세,77.7
2020,52,6개월-13세,78.2
2020,53,6개월-13세,78.2
2021,1,6개월-13세,78.6
2021,2,6개월-13세,78.7
2021,3,6개월-13세,78.8
2021,4,6개월-13세,78.8
2021,5,6개월-13세,78.9
2021,6,6개월-13세,78.9
2021,7,6개월-13세,78.9
2021,8,6개월-13세,79.0
2021,9,6개월-13세,79.0
2021,10,6개월-13세,79.0
2021,11,6개월-13세,79.0
2021,12,6개월-13세,79.0
2021,13,6개월-13세,79.0
2021,14,6개월-13세,79.0
2021,15,6개월-13세,79.0
2021,16,6개월-13세,79.0
2021,17,6개월-13세,79.1
2021,18,6개월-13세,79.1
2020,38,6개월-6세,4.8
2020,39,6개월-6세,18.2
2020,40,6개월-6세,34.9
2020,41,6개월-6세,54.5
2020,42,6개월-6세,66.8
2020,43,6개월-6세,70.4
2020,44,6개월-6세,72.4
2020,45,6개월-6세,74.3
2020,46,6개월-6세,75.7
2020,47,6개월-6세,76.7
2020,48,6개월-6세,77.6
2020,49,6개월-6세,79.1
2020,50,6개월-6세,79.8
2020,51,6개월-6세,80.5
2020,52,6개월-6세,81.1
2020,53,6개월-6세,81.1
2021,1,6개월-6세,81.6
2021,2,6개월-6세,81.8
2021,3,6개월-6세,81.9
2021,4,6개월-6세,82.0
2021,5,6개월-6세,82.1
2021,6,6개월-6세,82.2
2021,7,6개월-6세,82.3
2021,8,6개월-6세,82.4
2021,9,6개월-6세,82.4
2021,10,6개월-6세,82.5
2021,11,6개월-6세,82.5
2021,12,6개월-6세,82.5
2021,13,6개월-6세,82.5
2021,14,6개월-6세,82.5
2021,15,6개월-6세,82.5
2021,16,6개월-6세,82.5
2021,17,6개월-6세,82.5
2021,18,6개월-6세,82.5
