연도,주차,연령대,의사환자 분율
2024,36,65세이상,3.3
2024,37,65세이상,2.8
2024,38,65세이상,3.7
2024,39,65세이상,2.5
2024,40,65세이상,2.4
2024,41,65세이상,1.4
2024,42,65세이상,1.9
2024,43,65세이상,2.3
2024,44,65세이상,1.5
2024,45,65세이상,1.9
2024,46,65세이상,2.0
2024,47,65세이상,2.0
2024,48,65세이상,2.0
2024,49,65세이상,2.3
2024,50,65세이상,3.5
2024,51,65세이상,6.3
2024,52,65세이상,20.3
2024,53,65세이상,20.3
2025,1,65세이상,35.1
2025,2,65세이상,35.2
2025,3,65세이상,21.6
2025,4,65세이상,14.8
2025,5,65세이상,13.5
2025,6,65세이상,5.3
2025,7,65세이상,3.9
2025,8,65세이상,3.0
2025,9,65세이상,2.7
2025,10,65세이상,3.4
2025,11,65세이상,3.4
2025,12,65세이상,3.2
2025,13,65세이상,3.9
2025,14,65세이상,3.0
2025,15,65세이상,4.0
2025,16,65세이상,3.5
2025,17,65세이상,2.8
2025,18,65세이상,3.9
2025,19,65세이상,3.8
2025,20,65세이상,3.1
2025,21,65세이상,2.4
2025,22,65세이상,2.8
2025,23,65세이상,2.7
2025,24,65세이상,2.4
2025,25,65세이상,2.4
2025,26,65세이상,2.0
2025,27,65세이상,2.3
2025,28,65세이상,2.3
2025,29,65세이상,2.3
2025,30,65세이상,3.0
2025,31,65세이상,3.4
2025,32,65세이상,2.7
2025,33,65세이상,4.5
2025,34,65세이상,4.4
2025,35,65세이상,3.6
2024,36,50-64세,5.1
2024,37,50-64세,3.6
2024,38,50-64세,3.9
2024,39,50-64세,2.8
2024,40,50-64세,3.0
2024,41,50-64세,2.4
2024,42,50-64세,3.0
2024,43,50-64세,2.7
2024,44,50-64세,2.4
2024,45,50-64세,2.8
2024,46,50-64세,3.2
2024,47,50-64세,3.7
2024,48,50-64세,3.8
2024,49,50-64세,4.8
2024,50,50-64세,7.8
2024,51,50-64세,18.9
2024,52,50-64세,45.7
2024,53,50-64세,45.7
2025,1,50-64세,70.8
2025,2,50-64세,62.0
2025,3,50-64세,40.3
2025,4,50-64세,22.6
2025,5,50-64세,21.1
2025,6,50-64세,9.6
2025,7,50-64세,6.7
2025,8,50-64세,6.3
2025,9,50-64세,5.9
2025,10,50-64세,4.2
2025,11,50-64세,5.4
2025,12,50-64세,5.1
2025,13,50-64세,5.5
2025,14,50-64세,6.0
2025,15,50-64세,6.4
2025,16,50-64세,6.2
2025,17,50-64세,5.6
2025,18,50-64세,4.5
2025,19,50-64세,4.6
2025,20,50-64세,4.2
2025,21,50-64세,3.6
2025,22,50-64세,3.3
2025,23,50-64세,3.9
2025,24,50-64세,3.2
2025,25,50-64세,2.8
2025,26,50-64세,2.5
2025,27,50-64세,2.1
2025,28,50-64세,3.2
2025,29,50-64세,2.7
2025,30,50-64세,3.2
2025,31,50-64세,4.2
2025,32,50-64세,3.6
2025,33,50-64세,4.6
2025,34,50-64세,4.7
2025,35,50-64세,4.8
2024,36,19-49세,7.5
2024,37,19-49세,6.1
2024,38,19-49세,7.3
2024,39,19-49세,6.3
2024,40,19-49세,5.0
2024,41,19-49세,5.6
2024,42,19-49세,5.0
2024,43,19-49세,5.1
2024,44,19-49세,4.6
2024,45,19-49세,4.7
2024,46,19-49세,5.8
2024,47,19-49세,6.2
2024,48,19-49세,7.1
2024,49,19-49세,9.7
2024,50,19-49세,18.2
2024,51,19-49세,37.6
2024,52,19-49세,93.6
2024,53,19-49세,93.6
2025,1,19-49세,129.1
2025,2,19-49세,110.0
2025,3,19-49세,71.0
2025,4,19-49세,46.4
2025,5,19-49세,36.5
2025,6,19-49세,18.0
2025,7,19-49세,14.0
2025,8,19-49세,12.8
2025,9,19-49세,12.7
2025,10,19-49세,10.9
2025,11,19-49세,12.3
2025,12,19-49세,12.5
2025,13,19-49세,15.3
2025,14,19-49세,14.3
2025,15,19-49세,17.9
2025,16,19-49세,18.9
2025,17,19-49세,15.3
2025,18,19-49세,11.9
2025,19,19-49세,12.4
2025,20,19-49세,13.9
2025,21,19-49세,8.7
2025,22,19-49세,8.5
2025,23,19-49세,8.2
2025,24,19-49세,6.8
2025,25,19-49세,6.2
2025,26,19-49세,4.7
2025,27,19-49세,6.0
2025,28,19-49세,6.1
2025,29,19-49세,6.0
2025,30,19-49세,5.6
2025,31,19-49세,7.6
2025,32,19-49세,7.3
2025,33,19-49세,7.1
2025,34,19-49세,6.9
2025,35,19-49세,8.3
2024,36,13-18세,10.5
2024,37,13-18세,8.9
2024,38,13-18세,10.2
2024,39,13-18세,5.9
2024,40,13-18세,5.5
2024,41,13-18세,6.6
2024,42,13-18세,6.3
2024,43,13-18세,5.9
2024,44,13-18세,5.7
2024,45,13-18세,6.2
2024,46,13-18세,7.3
2024,47,13-18세,7.9
2024,48,13-18세,11.7
2024,49,13-18세,15.3
2024,50,13-18세,36.9
2024,51,13-18세,74.6
2024,52,13-18세,151.3
2024,53,13-18세,151.3
2025,1,13-18세,177.4
2025,2,13-18세,141.5
2025,3,13-18세,88.6
2025,4,13-18세,50.9
2025,5,13-18세,39.9
2025,6,13-18세,22.2
2025,7,13-18세,24.2
2025,8,13-18세,22.4
2025,9,13-18세,17.3
2025,10,13-18세,16.0
2025,11,13-18세,29.5
2025,12,13-18세,39.1
2025,13,13-18세,45.7
2025,14,13-18세,56.1
2025,15,13-18세,69.9
2025,16,13-18세,64.2
2025,17,13-18세,39.9
2025,18,13-18세,30.9
2025,19,13-18세,31.4
2025,20,13-18세,22.2
2025,21,13-18세,16.3
2025,22,13-18세,11.7
2025,23,13-18세,13.3
2025,24,13-18세,10.6
2025,25,13-18세,8.3
2025,26,13-18세,9.8
2025,27,13-18세,10.1
2025,28,13-18세,9.3
2025,29,13-18세,10.0
2025,30,13-18세,10.3
2025,31,13-18세,9.5
2025,32,13-18세,9.0
2025,33,13-18세,11.2
2025,34,13-18세,11.5
2025,35,13-18세,8.7
2024,36,7-12세,9.3
2024,37,7-12세,8.0
2024,38,7-12세,8.7
2024,39,7-12세,8.9
2024,40,7-12세,6.2
2024,41,7-12세,7.4
2024,42,7-12세,6.8
2024,43,7-12세,5.8
2024,44,7-12세,7.1
2024,45,7-12세,6.9
2024,46,7-12세,8.1
2024,47,7-12세,6.9
2024,48,7-12세,10.6
2024,49,7-12세,13.8
2024,50,7-12세,24.7
2024,51,7-12세,62.4
2024,52,7-12세,137.3
2024,53,7-12세,137.3
2025,1,7-12세,161.6
2025,2,7-12세,149.5
2025,3,7-12세,103.9
2025,4,7-12세,71.4
2025,5,7-12세,50.0
2025,6,7-12세,27.5
2025,7,7-12세,24.3
2025,8,7-12세,16.4
2025,9,7-12세,17.5
2025,10,7-12세,19.5
2025,11,7-12세,27.6
2025,12,7-12세,34.4
2025,13,7-12세,45.6
2025,14,7-12세,53.8
2025,15,7-12세,73.3
2025,16,7-12세,70.8
2025,17,7-12세,55.2
2025,18,7-12세,39.2
2025,19,7-12세,33.2
2025,20,7-12세,27.5
2025,21,7-12세,18.6
2025,22,7-12세,15.9
2025,23,7-12세,14.8
2025,24,7-12세,11.0
2025,25,7-12세,10.7
2025,26,7-12세,8.0
2025,27,7-12세,9.4
2025,28,7-12세,8.3
2025,29,7-12세,8.7
2025,30,7-12세,8.2
2025,31,7-12세,7.9
2025,32,7-12세,7.2
2025,33,7-12세,7.4
2025,34,7-12세,10.2
2025,35,7-12세,10.6
2024,36,1-6세,4.7
2024,37,1-6세,5.3
2024,38,1-6세,5.7
2024,39,1-6세,4.4
2024,40,1-6세,3.1
2024,41,1-6세,3.7
2024,42,1-6세,4.2
2024,43,1-6세,3.9
2024,44,1-6세,4.1
2024,45,1-6세,3.8
2024,46,1-6세,4.5
2024,47,1-6세,5.2
2024,48,1-6세,5.6
2024,49,1-6세,6.0
2024,50,1-6세,10.4
2024,51,1-6세,24.6
2024,52,1-6세,58.4
2024,53,1-6세,58.4
2025,1,1-6세,83.1
2025,2,1-6세,83.4
2025,3,1-6세,76.2
2025,4,1-6세,51.8
2025,5,1-6세,36.8
2025,6,1-6세,19.6
2025,7,1-6세,17.9
2025,8,1-6세,11.8
2025,9,1-6세,10.5
2025,10,1-6세,8.7
2025,11,1-6세,11.3
2025,12,1-6세,11.7
2025,13,1-6세,13.2
2025,14,1-6세,12.7
2025,15,1-6세,16.5
2025,16,1-6세,16.8
2025,17,1-6세,15.8
2025,18,1-6세,13.3
2025,19,1-6세,11.8
2025,20,1-6세,10.7
2025,21,1-6세,9.2
2025,22,1-6세,7.8
2025,23,1-6세,8.1
2025,24,1-6세,6.9
2025,25,1-6세,7.7
2025,26,1-6세,6.2
2025,27,1-6세,5.6
2025,28,1-6세,7.4
2025,29,1-6세,6.1
2025,30,1-6세,5.0
2025,31,1-6세,6.0
2025,32,1-6세,5.3
2025,33,1-6세,5.9
2025,34,1-6세,6.1
2025,35,1-6세,7.3
2024,36,0세,13.4
2024,37,0세,2.4
2024,38,0세,3.8
2024,39,0세,1.3
2024,40,0세,0.6
2024,41,0세,1.3
2024,42,0세,1.8
2024,43,0세,3.1
2024,44,0세,1.8
2024,45,0세,2.0
2024,46,0세,2.9
2024,47,0세,2.0
2024,48,0세,1.4
2024,49,0세,1.6
2024,50,0세,4.4
2024,51,0세,11.2
2024,52,0세,25.0
2024,53,0세,25.0
2025,1,0세,47.8
2025,2,0세,55.2
2025,3,0세,39.4
2025,4,0세,25.7
2025,5,0세,19.7
2025,6,0세,11.4
2025,7,0세,8.2
2025,8,0세,6.1
2025,9,0세,8.0
2025,10,0세,8.2
2025,11,0세,5.5
2025,12,0세,5.9
2025,13,0세,5.9
2025,14,0세,6.8
2025,15,0세,6.8
2025,16,0세,7.9
2025,17,0세,15.0
2025,18,0세,10.5
2025,19,0세,6.4
2025,20,0세,4.1
2025,21,0세,4.2
2025,22,0세,4.7
2025,23,0세,3.2
2025,24,0세,4.2
2025,25,0세,7.1
2025,26,0세,3.4
2025,27,0세,3.7
2025,28,0세,3.0
2025,29,0세,4.7
2025,30,0세,4.3
2025,31,0세,6.0
2025,32,0세,3.4
2025,33,0세,3.5
2025,34,0세,3.0
2025,35,0세,8.1
